simulation,ignition,weather
122,5762,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather12.csv
123,2403,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather100.csv
124,6412,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather84.csv
125,5673,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather85.csv
126,2385,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather53.csv
127,7337,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather36.csv
128,3731,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather74.csv
129,9908,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather60.csv
130,1423,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather5.csv
131,2993,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather85.csv
132,4903,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather55.csv
133,3122,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather104.csv
134,7742,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather122.csv
135,3593,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather103.csv
136,7163,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather48.csv
137,4893,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather24.csv
138,4079,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather69.csv
139,1418,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather121.csv
140,7386,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather98.csv
141,3780,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather21.csv
142,1589,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather121.csv
143,4009,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather96.csv
144,4635,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather102.csv
145,9528,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather64.csv
146,1044,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather109.csv
147,6402,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather9.csv
148,8643,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather43.csv
149,254,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather31.csv
150,1472,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather65.csv
151,4090,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather42.csv
152,7119,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather1.csv
153,7193,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather86.csv
154,3092,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather36.csv
155,1366,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather112.csv
156,5153,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather67.csv
157,943,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather79.csv
158,9618,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather57.csv
159,8403,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather23.csv
160,1900,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather47.csv
