simulation,ignition,weather
147,4315,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather71.csv
148,2318,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather77.csv
149,4487,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather38.csv
150,7144,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather22.csv
151,4334,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather112.csv
152,747,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather98.csv
153,6118,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather38.csv
154,3478,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather22.csv
155,3882,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather5.csv
156,7614,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather94.csv
157,8418,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather33.csv
158,8743,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather112.csv
159,5682,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather36.csv
160,2565,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather63.csv
161,2380,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather81.csv
162,8736,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather46.csv
163,5573,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather99.csv
164,5683,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather115.csv
165,2539,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather125.csv
166,7657,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather96.csv
167,6502,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather49.csv
168,8357,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather108.csv
169,2458,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather66.csv
170,6416,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather64.csv
171,1364,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather69.csv
172,21,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather22.csv
173,5937,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather120.csv
174,4916,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather98.csv
175,5933,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather92.csv
176,6835,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather77.csv
177,3808,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather61.csv
178,4248,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather47.csv
179,6729,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather31.csv
180,2409,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather53.csv
181,134,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather94.csv
182,2770,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather65.csv
183,9145,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather3.csv
184,9791,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather77.csv
185,1760,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather128.csv
186,7256,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather64.csv
187,8952,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather44.csv
188,3204,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather114.csv
189,7115,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather98.csv
190,7797,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather60.csv
191,5770,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather106.csv
192,4388,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather127.csv
193,6294,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather119.csv
194,8003,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather95.csv
195,8015,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather106.csv
196,3764,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather44.csv
197,8250,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather123.csv
198,1395,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather45.csv
199,4185,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather9.csv
200,9969,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather49.csv
201,2741,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather44.csv
202,6123,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather29.csv
203,4331,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather75.csv
