fueltype,lat,lon,elev,ws,waz,ps,saz,cur,cbd,cbh,ccf,ftypeN,fmc,py,jd,jd_min,pc,pdf,time,ffmc,bui,gfl,pattern,
O1a,51.621244,-115.608378,2300.000000,,,19.000000,145.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2286.000000,,,17.000000,150.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2280.000000,,,17.000000,149.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2263.000000,,,18.000000,142.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2225.000000,,,16.000000,135.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2191.000000,,,12.000000,152.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2158.000000,,,12.000000,180.000000,60,,,,31,,,,,,,20,,,0.350000,,
C1,51.621244,-115.608378,2233.000000,,,20.000000,33.000000,,,,,1,,,,,,,20,,,0.750000,,
O1a,51.621244,-115.608378,2232.000000,,,15.000000,83.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2233.000000,,,19.000000,193.000000,60,,,,31,,,,,,,20,,,0.350000,,
C1,51.621244,-115.608378,2236.000000,,,39.000000,216.000000,,,,,1,,,,,,,20,,,0.750000,,
C1,51.621244,-115.608378,2251.000000,,,54.000000,220.000000,,,,,1,,,,,,,20,,,0.750000,,
O1a,51.621244,-115.608378,2276.000000,,,63.000000,222.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2301.000000,,,51.000000,223.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2319.000000,,,16.000000,142.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2331.000000,,,65.000000,88.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2336.000000,,,71.000000,93.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2338.000000,,,36.000000,111.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2332.000000,,,16.000000,146.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2320.000000,,,14.000000,141.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2300.000000,,,16.000000,136.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2281.000000,,,16.000000,144.000000,60,,,,31,,,,,,,20,,,0.350000,,
